Num	Phrase	Translation
1	冷静！	[['Cool off!', 280162.0]]
2	干杯！	[['Bottoms up!', 21180.0], ['Cheers!', 487006.0]]
3	行。	[['All right.', 268108.0], ['Okay.', 1391646.0], ['OK.', 2611318.0], ['Ok.', 7094402.0]]
4	可惜。	[['What a pity!', 24885.0]]
5	干杯!	[['Cheers!', 487006.0]]
6	好像挺有趣。	[['How fascinating!', 1060030.0]]
7	等等。	[['Wait， wait just a little while.', 1235430.0]]
8	大约。	[['Probably.', 4373509.0]]
9	十分感谢。	[['Thank you very much.', 1839560.0]]
10	等等！	[['Wait!', 1744314.0]]
11	坚持。	[['Hold on.', 1357000.0], ['Hang in there.', 2173924.0], ['Keep it up!', 45024.0], ['Keep it up.', 45026.0], ['Hang on!', 1894404.0], ['Hang on.', 1972640.0]]
12	醒醒！	[['Wake up!', 323780.0]]
13	对！	[["That's right.", 1216015.0]]
14	坚持到底！	[['Stiff upper lip!', 1224737.0]]
15	停止！	[['Stop!', 448320.0]]
16	永远！	[['Forever!', 6581201.0]]
17	可怜!	[['How unfortunate!', 2111810.0]]
18	扔掉	[['Throw it away.', 7723590.0], ['Throw it out.', 7766361.0]]
19	抱歉？	[['Excuse me?!', 7330251.0]]
20	正确！	[['Correct!', 628213.0]]
21	抱歉！	[["I'm sorry!", 4555644.0]]
22	一切正常。	[["Everything's normal.", 2111846.0], ["Everything's working fine.", 8249335.0], ['Everything is normal.', 1892487.0]]
23	地球母亲。	[['Mother Earth.', 1526466.0]]
24	警察！	[['Police!', 7910288.0]]
25	随便！	[['Whatever!', 491243.0]]
26	祝贺！	[['Congratulations!', 1437.0]]
