Num	Phrase	Translation
1	赶快!	[['Hurry up.', 1329.0]]
2	不好意思……	[["I'm sorry.", 38387.0], ['Sorry...', 39996.0], ['Excuse me.', 433504.0]]
3	滚。	[['Leave now.', 52067.0], ['Get lost!', 623565.0], ['Get lost.', 854500.0], ['Get lost!', 623565.0]]
4	剪刀、石头、布。	[['Rock， paper， scissors.', 415516.0]]
5	保持微笑。	[['Keep on smiling.', 318128.0], ['Keep smiling.', 2111637.0]]
6	胡说！	[["That's bullshit!", 536639.0], ['Nonsense!', 282398.0], ['Rubbish!', 3642919.0]]
7	实话？	[['The truth?', 838654.0]]
8	滚！	[['Get away!', 240634.0], ['Get lost!', 623565.0], ['Go away!', 433518.0], ['Get the hell out of here!', 1750070.0], ['Fuck off！', 10699094.0]]
9	完美！	[['Perfect!', 374568.0]]
10	逃避现实。	[['Escape from reality.', 8253697.0]]
11	不好意思？	[['Sorry?', 9020701.0]]
12	专心！	[['Attention please!', 240217.0]]
13	提问！	[['Ask!', 6330126.0], ['Ask.', 8195589.0]]
14	遵守规则！	[['Follow the rules.', 3529411.0]]
15	哈哈	[['Someone is always on duty.', 2544629.0]]
16	专心。	[['Focus.', 5300867.0]]
