Num	Phrase	Translation
1	生日快乐，Muiriel！	[['Happy birthday， Muiriel!', 355041.0]]
2	走吧。	[["Let's go!", 241077.0], ["Let's leave.", 2007931.0]]
3	欢迎。	[['Welcome.', 138919.0]]
4	错。	[['Wrong.', 28129.0]]
5	生日快乐！	[['Happy birthday to you!', 64233.0], ['Happy birthday!', 453219.0], ['Happy Birthday!', 5229053.0]]
6	欢迎!	[['Welcome.', 138919.0], ['Welcome!', 4771541.0]]
7	起床!	[['Get out of bed!', 33985.0]]
8	再找时间吧。	[["Let's do it another time.", 32652.0]]
9	生日快乐，Shishir。	[['Happy birthday， Shishir!', 1110954.0]]
10	可以。	[["That's okay.", 2123558.0]]
11	开始！	[['Action!', 25930.0], ['Begin.', 6102432.0]]
12	Tom游泳。	[['Tom swims.', 5190879.0], ['Tom swam.', 2203845.0]]
13	真好吃。	[["It's so yummy.", 3527198.0]]
14	别走！	[["Don't leave!", 872936.0]]
15	快！	[['Quickly!', 6535958.0]]
16	要得	[['It is feasible.', 6037987.0]]
17	别笑！	[["Don't laugh!", 2234817.0], ["Don't laugh.", 1771554.0]]
18	您可以回答问题。	[['You may answer the question.', 3142530.0]]
19	欢迎大家！	[['Welcome， everyone!', 10251061.0]]
