Num	Phrase	Translation
1	为什么？	[['Why?', 36419.0]]
2	终于！	[['Finally!', 392296.0]]
3	当然!	[['Of course!', 433730.0]]
4	关灯。	[['Turn off the light.', 279153.0]]
5	讲清楚。	[['Speak clearly.', 433849.0]]
6	当然。	[['Of course.', 433492.0], ['Of course.', 433492.0]]
7	奇怪。	[["That's weird.", 320329.0], ['Strange.', 1010322.0], ["That's strange.", 320326.0], ["That's odd.", 1453153.0], ['This is weird.', 1898083.0], ["That's peculiar.", 3636097.0], ['That is weird.', 9631783.0], ['That is odd.', 9631784.0], ['That is strange.', 9631786.0], ['This is strange.', 2233735.0], ['Weird.', 9631829.0]]
8	安静！	[['Be quiet!', 430128.0], ['Silence!', 2246300.0]]
9	游戏结束。	[['Game over.', 757089.0], ['The game finished.', 3633981.0]]
10	同意。	[['I agree.', 436281.0]]
11	为什么?	[['Why?', 36419.0]]
12	努力。	[['Try hard.', 271901.0]]
13	注意。	[['Caution.', 5101021.0]]
14	几乎。	[['Almost.', 31567.0]]
15	啊？	[['Huh?', 5837669.0]]
16	小心！	[['Use caution.', 5758415.0], ['Be careful!', 2047579.0]]
