Num	Phrase	Translation
1	现在20岁了。	[['Muiriel is 20 now.', 1282.0], ['Muiriel has turned twenty.', 1415809.0]]
2	我很想你。	[['I miss you.', 1308.0]]
3	我叫Jack。	[['My name is Jack.', 1646.0], ["My name's Jack.", 758904.0]]
4	你住在哪里？	[['Where do you live?', 370708.0]]
5	他住在这里吗？	[['Does he live here?', 497731.0]]
6	火车站在哪里?	[['Where is the railroad station?', 26041.0], ['Where is the train station?', 638544.0], ['Where is the railway station?', 544540.0], ["Where's the train station?", 4048962.0]]
7	我爱你。	[['I love you.', 1434.0], ['I love you!', 2365642.0]]
8	这是我的妈妈。	[['This is my mother.', 413771.0], ['This is my mom.', 1061529.0]]
9	我什么都不想喝。	[["I don't want anything to drink.", 256125.0], ["I don't want to drink anything.", 1477114.0]]
10	做你想做的。	[['Do whatever you want.', 70894.0]]
11	你做了什么？	[['What did you make?', 24693.0], ['What did you do?', 1495903.0]]
12	今天天气很好。	[["It's fine today.", 242938.0], ['Today， the weather is very nice.', 942478.0], ["It's a nice day.", 433659.0], ['The weather is good today.', 1867475.0]]
13	你有几本书?	[['How many books do you have?', 16254.0]]
14	一年有十二个月。	[['A year has twelve months.', 73060.0], ['There are twelve months in a year.', 372062.0], ['One year has twelve months.', 480575.0], ['A year has twelve months.', 73060.0], ['One year has twelve months.', 480575.0], ['There are twelve months in a year.', 372062.0], ['In one year there are twelve months.', 455989.0]]
15	现在我爸爸不在家。	[['My dad is not at home for the moment.', 333479.0]]
16	这不是你的书,这是我的书。	[["This is not your book， it's mine.", 489227.0]]
17	我不工作.	[['I do not work.', 333485.0]]
18	我的朋友十七岁了。	[['My friend is seventeen years old.', 761865.0], ['My friend is seventeen.', 761867.0]]
19	谁是你的汉语老师?	[['Who is your Chinese teacher?', 335141.0]]
20	你家有多少人？	[['How many people are there in your family?', 387554.0], ['How many people are in your family?', 2250675.0]]
21	他明天会在家。	[['He will be at home tomorrow.', 304091.0], ["He'll be back home tomorrow.", 5226673.0]]
22	没关系。	[['No problem.', 551443.0], ["It's OK.", 413756.0], ["It doesn't matter.", 37894.0]]
23	我们是同学。	[["We're classmates.", 247946.0], ['We are classmates.', 2801124.0]]
24	明天会下雨吗？	[['Will it rain tomorrow?', 475766.0], ['Is it going to rain tomorrow?', 1213449.0], ['Is it going to rain tomorrow?', 1213449.0], ['Will it rain tomorrow?', 475766.0]]
25	Ken昨天在家吗？	[['Was Ken at home yesterday?', 62472.0]]
26	她来了！	[["She's coming!", 1211537.0]]
27	这是我的书。	[['This is my book.', 463306.0]]
28	怎么了？	[["What's the matter?", 394894.0], ["What's happened?", 1649962.0], ["What's the matter?", 394894.0]]
29	你想我了？	[['Did you miss me?', 1561.0], ['Do you miss me?', 1230779.0]]
30	我在吃米饭。	[['I am eating rice.', 334464.0], ["I'm eating rice.", 6873303.0]]
31	他明天能来吗？	[['Will he be able to come tomorrow?', 68116.0]]
32	哪本是你的书？	[['Which is your book?', 36873.0], ['Which book is yours?', 37928.0]]
33	你明天这个时候会是在做什么？	[['What will you be doing at this time tomorrow?', 71832.0], ["What'll you be doing at this time tomorrow?", 7852299.0]]
34	Ken的狗很大。	[["Ken's dog is very big.", 387479.0]]
35	他认识很多人。	[['He knows a lot of people.', 294993.0], ['He knows many people.', 1774965.0]]
36	我是中国人。	[['I am Chinese.', 335138.0]]
37	他学习汉语。	[['He studies Chinese.', 288241.0]]
38	是我。	[["It's me.", 42400.0], ['It is I.', 1250346.0]]
39	你是人。	[["You're a human.", 416544.0], ["You're a person.", 433601.0]]
40	我现在30岁了。	[['I am 30 years old now.', 252248.0], ["I'm thirty now.", 2765317.0], ["I'm 30 now.", 5865062.0], ["I'm 30 years old now.", 6872934.0], ["I'm thirty years old now.", 6872935.0]]
41	他在哪里工作？	[['Where does he work?', 335983.0]]
42	我家很大。	[['My house is big.', 250554.0]]
43	我在家。	[['I am at home.', 29049.0], ["I'm at home.", 404046.0]]
44	我不喜欢学校。	[["I don't like school.", 386739.0]]
45	我是这个学校的学生。	[['I am a student of this school.', 253572.0]]
46	那是我们的学校。	[['That is our school.', 67053.0]]
47	明天来看看我。	[['Come and see me tomorrow.', 323473.0]]
48	再见！	[['See you again.', 32635.0], ['See you around.', 32690.0], ['Good-bye!', 64336.0], ['See you later!', 360558.0], ['Goodbye!', 516745.0], ['Bye!', 647456.0], ['Bye!', 647456.0], ['See you.', 1151432.0]]
49	这是一本书。	[['This is a book.', 55399.0]]
50	他很高兴。	[['He is happy.', 296294.0], ["He's happy.", 3340752.0]]
51	什么？	[['What?', 36088.0], ['Excuse me?', 434704.0], ['Say what?', 8453907.0]]
52	这个多少？	[['How much is it?', 2418.0], ['How much does it cost?', 436193.0]]
53	我不爱她。	[["I don't love her.", 261346.0]]
54	这本书很小。	[['This book is very small.', 57014.0]]
55	这是我的狗。	[['This is my dog.', 67056.0]]
56	我想做医生。	[['I want to be a doctor.', 321715.0]]
57	Tom 和 John 是好朋友。	[['Tom and John are good friends.', 37385.0]]
58	这本书是你的吗？	[['Does this book belong to you?', 57052.0]]
59	他是医生吗？	[['Is he a doctor?', 293616.0]]
60	这些书都是我的。	[['All these books are mine.', 372450.0], ['All of these books are mine.', 1360853.0]]
61	他是有钱人家的儿子。	[['He is the son of a wealthy family.', 304463.0]]
62	很多人认识他。	[['Very many people know him.', 1445013.0]]
63	我能叫你Bob吗？	[['Can I call you Bob?', 68814.0]]
64	我的名字叫Hopkins。	[['My name is Hopkins.', 23532.0]]
65	Tom昨天看了电视。	[['Tom watched TV yesterday.', 37132.0]]
66	我昨天很高兴。	[['I was happy yesterday.', 257773.0]]
67	你几岁了？	[['How old are you?', 436243.0]]
68	我能和老师说话吗？	[['Can I speak with the teacher?', 799200.0], ['May I speak with the teacher?', 1265422.0]]
69	他三年写了三本书。	[['He wrote three books in as many years.', 288551.0]]
70	下雨了。	[['It is raining.', 1862.0], ["It's raining.", 456237.0]]
71	你叫什么名字？	[['What is your name?', 70623.0], ["What's your name?", 408293.0]]
72	去看电影怎么样？	[['Why not go to the movies?', 26477.0]]
73	他在看电视。	[['He is watching TV.', 288039.0]]
